row,column,value
1,0,TOYOTA PRADO VX V6 2007
1,1,http://www.qatarliving.com/node/20315454
1,3,60001 - 80000 km
1,6,4x4/SUV
1,7,Toyota
2,6,4x4/SUV
2,7,mitsubishi
4,5,lynxace07-0
6,1,http://www.qatarliving.com/vehicles/4x4suv/advert/brand-new-honda-pilot-2013-model-price-negotiable-immediate-sale-0
6,6,4x4/SUV
7,0,For Sell Mitsubishi Pajero 2006
7,6,4x4/SUV
7,7,mitsubishi
8,0,Nissan Murano full option^ Model 2008^ Low mileage 41^000Km only price reduced for quick sale
8,1,http://www.qatarliving.com/vehicles/4x4suv/advert/nissan-murano-full-option-model-2008-low-mileage-41000km-only-price-reduced
8,6,4x4/SUV
9,0,NISSAN PATHFINDER SE (FULL OPTION) FOR SALE
9,4,30000*
9,5,arshaqmamnas
9,6,4x4/SUV
10,0,NISSAN PATHFINDER SE (FULL OPTION) FOR SALE
10,1,http://www.qatarliving.com/node/20258155
10,3,0 - 10000 km
10,7,Mercedes
11,0,HYUNDAI TUCSON 2008^1ST OWNER^ 
12,0,Hyundai Sonata 2012
13,0,HYUNDAI TUCSON 2008^1ST OWNER^ 
13,1,http://www.qatarliving.com/vehicles/4x4suv/advert/no1-price-qatar-new-mitsubishi-pajero-v6-qr101000-free-full-insurance
13,6,4x4/SUV
13,7,mitsubishi
14,0,Nissan Murano full option^ Model 2008^ Low mileage 41^000Km only price reduced for quick sale
16,0,Hyundai Sonata 2012
16,6,4x4/SUV
17,0,GXR2009 - (LAND CRUISER)
17,3,160001 - 180000 km
17,4,128000*
17,7,Toyota
18,0,Nissan Murano full option^ Model 2008^ Low mileage 41^000Km only price reduced for quick sale
18,6,4x4/SUV
19,0,Nissan Sunny Classic 2011 Japan Made
19,1,http://www.qatarliving.com/node/20163256
19,3,20001 - 40000 km
19,4,0
19,7,Nissan
20,0,Nissan Sunny 2011 Classic Japan (Excellent)
20,1,http://www.qatarliving.com/node/20165181
20,3,20001 - 40000 km
20,4,0
20,7,Nissan
21,0,For Sell Mitsubishi Pajero 2006
21,3,20001 - 40000 km
21,6,4x4/SUV
21,7,Toyota
22,0,2008 Chevy Trailblazer
22,6,4x4/SUV
22,7,
23,5,emran6568
24,3,80001 - 100000 km
24,7,BMW
25,0,Hyundai Sonata 2012
25,4,75000*
25,6,4x4/SUV
25,7,mitsubishi
27,6,4x4/SUV
27,7,
