"source_id","cluster_id","bookname","author"
"ecampus.com","0201853949","the art of computer programming, fascicle 3: generating all combinations and partitions","not available"
"indoo.com","0201853949","art of computer programming, volume 4, fascicle 3, the: generating all combinations and partitions","knuth, donald e."
"textbookxdotcom","0201853949","the 'art of computer programming, fascicle 3 generating all combinations and partitions",""
"a1books","0201853949","the art of computer programming, volume 4, fascicle 3: generating all combinations and partitions","knuth, donald e."
"textbooksnow","0201853949","art of computer programming","knuth"
"paperbackworld.de","0201853949","the art of computer programming vol. 4, fascicle 3","donald ervin knuth"
"caiman","0201853949","art of computer programming vo","knuth, donald ervin"
"movies with a smile","0201853949","the art of computer programming, volume 4, fascicle 3: generating all combinations and partitions","knuth, donald ervin"
"marando.de versandbuchhandlung","0201853949","generating all combinations and partitions","donald e. knuth"
"aha-buch","0201853949","generating all combinations and partitions","donald e. knuth"
"versandantiquariat robert a. mueller","0201853949","the art of computer programming vol. 4, fascicle 3 generating all combinations and partitions","knuth, donald ervin"
"morgenstundt buch & kunst","0201853949","art of computer programming, the: generating all combinations and partitions","knuth, donald e."
"alphacraze.com","0201853949","the art of computer programming, volume 4, fascicle 3: generating all combinations and partitions (art of computer programming)","knuth, donald e."
"odeon books","0201853949","the art of computer programming, volume 4, fascicle 3: generating all combinations and partitions (art of computer programming)","donald e. knuth"
"powell's books","0201853949","art of computer prog fascicle 3 volume 4","knuth"
"quartermelon","0201853949","art of computer programming fascicle 3 generating all combinations and partitions","knuth, donald e."
"browns books","0201853949","the the","knuth, donald e."
"books down under","0201853949","art of computer programming, volume 4, fascicle 3, the: generating all combinations and partitions","donald e. knuth john fuller"
"books down under","0201853949","the art of computer programming, volume 4, fascicle 3: generating all combinations and partitions","knuth, donald e."
"swoop","0201853949","art of computer programming","knuth, donald e."
"thebookcom","0201853949","the art of computer programming fascicle 3 : generating all combinations and partitions - v. 4","knuth, donald e."
"thesaintbookstore","0201853949","the art of computer programming, volume 4, fascicle 3: generating all combinations and partitions (art of computer programming)","knuth, donald e."
"mellon's books","0201853949","art of computer programming","knuth, donald e."
"thebookcom","0201853949","the art of computer programming fascicle 3 : generating all combinations and partitions - v. 4","knuth, donald e."
"blackwell online","0201853949","the art of computer programming","donald e. knuth"
