ltable_id,rtable_id,gold
664,9077,0
668,9086,0
674,9092,0
675,9094,0
676,9094,0
677,9094,0
678,9094,0
679,9094,0
680,9094,0
681,9094,0
682,9094,0
683,9094,0
684,9094,0
687,9121,0
688,9121,0
689,9121,0
690,9121,0
693,9131,0
694,9131,0
699,9140,0
701,9146,0
709,9154,0
711,9156,0
715,9157,0
725,9164,0
726,9166,0
727,9167,0
733,9170,0
734,9173,0
743,9194,0
744,9196,0
745,9197,0
746,9199,0
749,9205,0
750,9207,0
751,9214,0
758,9221,0
759,9221,0
761,9224,0
766,9230,0
771,9240,0
772,9241,0
777,9244,0
779,9248,0
786,9262,0
790,9269,0
791,9271,0
797,9287,0
798,9288,0
805,9301,0
807,9304,0
811,9310,0
842,9363,0
843,9366,0
844,9367,0
845,9367,0
856,9521,0
858,9522,0
865,9536,0
866,9537,0
868,9541,0
869,9541,0
870,9541,0
871,9541,0
878,9554,0
879,9558,0
880,9566,0
885,9576,0
886,9594,0
888,9597,0
895,9625,0
898,9642,0
904,9656,0
906,9660,0
907,9661,0
908,9667,0
911,9672,0
912,9673,0
914,9676,0
924,9687,0
925,9687,0
927,9692,0
929,9694,0
930,9696,0
931,9699,0
932,9700,0
941,9715,0
946,9721,0
947,9722,0
953,9743,0
958,9755,0
959,9756,0
961,9768,0
962,9768,0
966,9776,0
970,9779,0
971,9784,0
983,9800,0
987,9807,0
988,9808,0
989,9808,0
990,9808,0
991,9808,0
992,9808,0
993,9808,0
994,9812,0
997,9814,0
1005,9817,0
1009,9825,0
1012,9831,0
1013,9831,0
1014,9833,0
1017,9838,0
1020,9839,0
1022,9843,0
1024,9844,0
1027,9849,0
1030,9850,0
1035,9853,0
1036,9859,0
1041,9864,0
1043,9869,0
1047,9877,0
1049,9880,0
1053,9883,0
1056,9889,0
1065,9907,0
1076,9923,0
1078,9924,0
1079,9927,0
1083,9934,0
1084,9936,0
1092,9950,0
1093,9952,0
1094,9953,0
1095,9953,0
1096,9953,0
1097,9953,0
1098,9953,0
1099,9956,0
1100,9958,0
1103,9960,0
1116,9981,0
1118,9982,0
1121,9984,0
1133,10031,0
1134,10030,0
1135,10030,0
1148,10057,0
1150,10069,0
1154,10073,0
1158,10078,0
1159,10080,0
1162,10087,0
1171,10106,0
1177,10109,0
1182,10113,0
1183,10113,0
1184,10113,0
1185,10113,0
1186,10116,0
1189,10126,0
1191,10127,0
1194,10130,0
1196,10132,0
1198,10134,0
1205,10144,0
1206,10148,0
1207,10151,0
1220,10190,0
1227,10199,0
1228,10199,0
1229,10199,0
1232,10204,0
1233,10204,0
1239,10215,0
1241,10220,0
1242,10223,0
1245,10229,0
1246,10231,0
1253,10268,0
1255,10275,0
1256,10277,0
1257,10277,0
1259,10279,0
1260,10280,0
1261,10282,0
1263,10286,0
1264,10286,0
1265,10286,0
1267,10289,0
1271,10292,0
1275,10296,0
1276,10297,0
1279,10305,0
1280,10314,0
1284,10322,0
1285,10325,0
1286,10328,0
1292,10339,0
1293,10340,0
1295,10351,0
1297,10356,0
1305,10363,0
1309,10370,0
1316,10385,0
1317,10389,0
1318,10391,0
1319,10394,0
1320,10395,0
1322,10397,0
1345,10456,0
1347,10457,0
1348,10460,0
1353,10473,0
1356,10488,0
1363,10507,0
1364,10511,0
1365,10512,0
1367,10550,0
1370,10553,0
1377,10573,0
1380,10578,0
1381,10578,0
1385,10584,0
1388,10591,0
1393,10599,0
1399,10604,0
1402,10610,0
1406,10621,0
1407,10621,0
1408,10621,0
1409,10621,0
1410,10621,0
1412,10626,0
1417,10631,0
1419,10639,0
1421,10640,0
1423,10642,0
1438,10698,0
1439,10698,0
1441,10700,0
1445,10706,0
1448,10721,0
1453,10724,0
1454,10725,0
1460,10727,0
1463,10731,0
1468,10736,0
1471,10745,0
1472,10749,0
1485,10761,0
1491,10767,0
1493,10769,0
1494,10771,0
1497,10773,0
1498,10775,0
1500,10781,0
1501,10787,0
1503,10790,0
1507,10799,0
1512,10805,0
1516,10810,0
1517,10811,0
1521,10819,0
1525,10825,0
1527,10827,0
1529,10830,0
1530,10831,0
1534,10836,0
1550,5033,0
1551,5033,0
1558,5046,0
1559,5046,0
1564,5060,0
1565,5061,0
1568,5066,0
1569,5067,0
1578,5072,0
1583,5083,0
1606,5118,0
1608,5119,0
1611,5129,0
1613,5131,0
1614,5133,0
1621,5167,0
1628,5176,0
1637,5213,0
1638,5213,0
1639,5213,0
1640,5213,0
1641,5213,0
1646,5223,0
1649,5229,0
1650,5229,0
1653,5230,0
1654,5232,0
1656,5239,0
1677,5266,0
1678,5266,0
1679,5266,0
1680,5266,0
1681,5266,0
1689,5293,0
1693,5297,0
1695,5302,0
1697,5306,0
1699,5309,0
1700,5311,0
1709,5325,0
1716,5334,0
1730,5362,0
1732,5370,0
1737,5375,0
1743,5387,0
1745,5393,0
1749,5401,0
1751,5402,0
1752,5402,0
1754,5510,0
1758,5513,0
1759,5514,0
1762,5520,0
1765,5523,0
1771,5531,0
1774,5532,0
1777,5535,0
1778,5537,0
1782,5550,0
1784,5557,0
1785,5557,0
1787,5559,0
1788,5560,0
1800,5582,0
1810,5595,0
1816,5604,0
1819,5606,0
1825,5612,0
1839,5628,0
1843,5635,0
1844,5638,0
1845,5639,0
1847,5643,0
1848,5645,0
1849,5645,0
1850,5645,0
1851,5645,0
1866,5705,0
1873,5719,0
1874,5720,0
1875,5720,0
