"genre","year","actors","movie_name","directors","id","duration"
"Action, Drama, Sci-Fi","2015","Tom Hiddleston, Jeremy Irons, Sienna Miller","High-Rise","Ben Wheatley",0,"112 min "
"Action, Drama, Thriller","2015","Vida Guerra, Emilio Rivera, John Amos","Mercy for Angels","K.C. Amos",1,"91 min "
"Action, Horror, Thriller","2015","Glen Powell, Zane Holtz, Rudy Youngblood","Wind Walkers","Russell Friedenberg",2,"93 min "
"Action, Crime","2015","Danny Trejo, Ed O'Ross, Shelby Deekins","Alcatraz Prison Escape: Deathbed Confession","John Edward Lee",3,"93 min "
"Action, Adventure, Comedy","2015","Jaime King, Samuel L. Jackson, Madeleine Stack","Barely Lethal","Kyle Newman",4,"96 min "
"Action, Drama, Thriller","2015","Amber Heard, James Franco, Christian Slater","The Adderall Diaries","Pamela Romanowsky",5,"105 min "
"Action, Horror, Mystery","2015","Tom Savini, Frank Wihbey, Santo Fazio","The Sadist","Jeremiah Kipp",6,"76 min "
"Action, Drama, Sport","2015","Joel Moody, William Martinez, Vivienne VanHorn","Heroes of Dirt","Eric Bugbee",7,"98 min "
"Action, Drama","2015","Kent Moran, Michael Clarke Duncan, S. Epatha Merkerson","The Challenger","Kent Moran",8,"95 min "
"Action, Adventure, Drama","2015","Eric Roberts, Matthew Ziff, Martin Kove","Six Gun Savior","Kirk Murray",9,"100 min "
"Action, Thriller","2015","Marcello Zamarripa, Billy Blair, Sue Rock","The Cain Complex","Marcello Zamarripa",10,"86 min "
"Action","2015","Felicia Pearson, Fredro Starr, Michael Barra","Diamond Ruff","Alec Asten",11,"82 min "
"Action, Drama, Thriller","2015","Abigail Breslin, Wes Bentley, Logan Huffman","Final Girl","Tyler Shields",12,"90 min "
"Action, Comedy, Fantasy","2015","James Marsters, Kaitlin Doubleday, Luke Perry","Dragon Warriors","Maclain Nelson",13,"122 min "
"Action, Crime, Drama","2015","Sterling Knight, Spencer Locke, Dean Geyer","Landmine Goes Click","Levan Bakhia",14,"110 min "
"Action, Crime, Drama","2015","Liam Neeson, Ed Harris, Joel Kinnaman","Run All Night","Jaume Collet-Serra",15,"114 min "
"Action, Comedy, Musical","2015","Tony D. Czech, Douglas Sidney, KariAnn Christensen","American Rescue Squad","Elliot Diviney",16,"90 min "
"Action, Biography, Crime","2015","Beau Martin Williams, Matt Funke, Trai Byers","Americons","Theo Avgerinos",17,"88 min "
"Action, Romance, Thriller","2015","'Chiyaan' Vikram, Amy Jackson, Suresh Gopi","i","S. Shankar",18,"170 min "
"Action, Thriller","2015","Robert Chapin, Monique Ganderton, David Lain Baker","The Hunted","Robert Chapin",19,"90 min "
"Action, Drama, Fantasy","2015","David Arquette, Lily Cole, Goran Kostic","Orion","Asiel Norton",20,"110 min "
"Action, Horror, Thriller","2015","Gil Darnell, Miriam Cooke, Lucas Hansen","Soldiers of the Damned","Mark Nuttall",21,"99 min "
"Action, Crime, Drama","2015","Taylor Lautner, Marie Avgeropoulos, Adam Rayner","Tracers","Daniel Benmayor",22,"94 min "
"Action, Crime, Drama","2015","Akshay Kumar, Shruti K. Haasan, Sunil Grover","Gabbar is Back","Radha Krishna Jagarlamudi",23,"128 min "
"Action, Drama","2015","Andrew Cheney, John Rhys-Davies, Kara Killmer","Beyond the Mask","Chad Burns",24,"103 min "
