"id","name","address","city","state","zipcode","phone","rating","reviews","ranking"
1,"Addis Abeba","1322 Chicago Ave.","Evanston","IL",," 847-328-5411",3,2,0
2,"Al's Deli","914 Noyes St.","Evanston","IL",," 847-475-9400",3,7,1
3,"Andy's Frozen Custard","719 Church St.","Evanston","IL",," 847-864-8009",0,0,2
4,"Bar Louie","1520 Sherman St.","Evanston","IL",," 847-733-8300",3,2,3
5,"Ben & Jerry's","1634 Orrington Ave.","Evanston","IL",," 847-869-2640",0,0,4
6,"Bennison's Bakery","1000 Davis St.","Evanston","IL",," 847-328-9434",0,0,5
7,"Big Ka Huu Na Hawaiian BBQ","822 Clark St.","Evanston","IL",," 847-475-1234",0,0,6
8,"Bistro Bordeaux","618 Church St.","Evanston","IL",," 847-424-1483",5,2,7
9,"Blind Faith Cafe","525 Dempster St.","Evanston","IL",," 847-328-6875",3,25,8
10,"Bluestone","1932 Central St.","Evanston","IL",," 847-424-0420",2,9,9
11,"Bombay Kabab House","1901 W. Howard St.","Evanston","IL",," 847-475-4553",5,1,10
12,"Bonsai Cafe","2916 Central St.","Evanston","IL",," 847-866-7498",5,1,11
13,"BopNGrill","1903 Church","Evanston","IL",," 847-733-7102",0,0,12
14,"Bravo Cucina Italiana","1701 Maple Ave.","Evanston","IL",," 847-733-0917",2,2,13
15,"Cafe Mud","1936 Maple Ave.","Evanston","IL",," 847-733-9904",0,0,14
16,"Cafe Pollada","5116 W. Cermak Rd.","Cicero","IL",," 708-477-0128",0,0,0
17,"Campagnola","815 Chicago Ave.","Evanston","IL",," 847-475-6100",3,28,0
18,"Carmen's","1012 Church St.","Evanston","IL",," 847-328-0031",2,3,1
19,"Celtic Knot","626 Church St.","Evanston","IL",," 847-864-1679",3,4,3
20,"Chef's Station","915 Davis St.","Evanston","IL",," 847-570-9821",3,14,4
21,"Chipotle Mexican Grill","711 Church St.","Evanston","IL",," 847-425-3959",3,4,5
22,"Clarke's Pancake House & Restaurant","720 Clark St.","Evanston","IL",," 847-864-1610",2,6,6
23,"Cozy Noodles & Rice","1018 Davis St.","Evanston","IL",," 847-733-0101",3,6,7
24,"Cross-Rhodes","913 Chicago Ave.","Evanston","IL",," 847-475-4475",3,9,8
25,"Czech Plaza","7016 W. Cermak Rd.","Berwyn","IL",," 708-795-6555",4,5,0
26,"Dave's Italian Kitchen","1635 Chicago Ave.","Evanston","IL",," 847-864-6000",3,17,9
27,"Davis Street Fishmarket","501 Davis St.","Evanston","IL",," 847-869-3474",3,21,10
28,"Dixie Kitchen & Bait Shop","825 Church St.","Evanston","IL",," 847-733-9030",3,24,11
29,"Donatella's Mediterranean Bistro","1512 Sherman Ave.","Evanston","IL",," 847-328-7720",5,2,12
30,"Dozika","601 Dempster St.","Evanston","IL",," 847-869-9740",3,3,13
31,"Edzo's Burger Shop","1571 Sherman Ave.","Evanston","IL",," 847-864-3396",5,1,14
32,"El Chimbombo","6725 Cermak Rd.","Berwyn","IL",," 708-484-9420",0,0,1
33,"Evanston Chicken Shack","1925 Ridge Ave.","Evanston","IL",," 847-328-9360",0,0,0
34,"Firehouse Grill","750 Chicago Ave.","Evanston","IL",," 847-733-1911",2,12,1
35,"Flat Top Grill","707 Church St.","Evanston","IL",," 847-570-0100",3,8,2
36,"Fraiche Bakery & Cafe","815 Noyes St.","Evanston","IL",," 847-475-5467",4,1,3
37,"Freddy's Pizzeria","1600 S. 61st Ave.","Cicero","IL",," 708-863-9289",5,1,1
38,"Futami Sushi","1710 Orrington","Evanston","IL",," 847-491-9220",0,0,4
39,"Gio","1631 Chicago Ave.","Evanston","IL",," 847-869-3900",3,5,5
40,"Giordano's","500 Davis St.","Evanston","IL",," 847-475-5000",2,3,6
41,"Golden Olympic Restaurant","1608 Chicago Ave.","Evanston","IL",," 847-328-1617",3,2,7
42,"Hartigan's Ice Cream Shoppe","2909 Central St.","Evanston","IL",," 847-491-1232",0,0,8
43,"Hecky's Barbecue","1902 Green Bay Rd.","Evanston","IL",," 847-492-1182",3,1,9
44,"Home Run Inn pizzerias","4254 W. 31st Street","Cicero","IL",," 773-247-9696",0,0,2
45,"Hunan Spring","635 Chicago Ave.","Evanston","IL",," 847-328-8082",4,1,10
46,"?","2977 N. Elston Ave.","Chicago","IL",," 773-866-9898",4,2,0
47,"@spot cafe","901 N. Larrabee St.","Chicago","IL",," 312-244-3747",0,0,10
48,"115 Bourbon Street","3359 W. 115th St.","Chicago","IL",," 708-388-8881",5,1,0
49,"1492 Tapas Bar","42 E. Superior St.","Chicago","IL",," 312-867-1492",3,18,1
50,"17 West at the Berghoff","17 W. Adams St.","Chicago","IL",," 312-427-3170",3,16,2
51,"312 Chicago","136 N. LaSalle St.","Chicago","IL",," 312-696-2420",3,20,3
52,3160,"3160 N. Clark St.","Chicago","IL",," 773-327-5969",0,0,4
53,"33 Club","1419 N. Wells St.","Chicago","IL",," 312-664-1419",1,1,5
54,"35th Street Cafe","1735 W. 35th St.","Chicago","IL",," 773-523-3500",0,0,6
55,"3rd Coast Cafe & Wine Bar","1260 N. Dearborn St.","Chicago","IL",," 312-649-0730",3,2,11
56,"42? N Latitude","4500 N. Lincoln Ave.","Chicago","IL",," 773-907-2226",3,8,7
57,"6 Corners Sports Bar","1950 W. North Ave.","Chicago","IL",," 773-235-5700",3,14,11
58,"6 Degrees","1935 N. Damen Ave.","Chicago","IL",," 773-904-8812",4,1,8
59,"65 Chinese Restaurant","336 N. Michigan Ave.","Chicago","IL",," 312-372-0306",3,1,9
60,"676 Restaurant & Bar","676 N. Michigan Ave.","Chicago","IL",," 312-944-7676",4,1,10
61,"694 Wine & Spirits","694 N. Milwaukee Ave.","Chicago","IL",," 312-492-6620",3,2,12
62,"87th Street BBQ","100 W. 87th St.","Chicago","IL",," 773-846-8829",0,0,11
63,"90 Miles Cuban Cafe","2540 W. Armitage Ave.","Chicago","IL",," 773-227-2822",0,0,12
64,"90 Miles Cuban Cafe","3101 N. Clybourn Ave.","Chicago","IL",," 773-248-2822",5,2,13
65,"94th Aero Squadron","1070 S. Milwaukee Ave.","Chicago","IL",," 847-459-3700",0,0,14
66,"A & T Grill","7036 N. Clark St.","Chicago","IL",," 773-274-0036",0,0,0
67,"A la Turka Turkish Kitchen","3134 N. Lincoln Ave.","Chicago","IL",," 773-935-6101",3,19,1
68,"A Taste of Heaven","5401 N. Clark","Chicago","IL",," 773-989-0151",4,19,13
69,"A Tavola","2148 W. Chicago Ave.","Chicago","IL",," 773-276-7567",4,22,2
