"Department Code","Department Name","Department Full Name","School Code","School Name","Dept_Budget_Code","Is Degree Granting","Dept Name In Commencement Bk","School Name In Commencement Bk","Department Name History","Department Last Activity Date","Dlc Key","Warehouse Load Date"
"4","Architecture","  4 -Architecture","A","Architecture and Planning",31000.0,"Y","Department of Architecture","School of Architecture and Planning","","02/17/94 12:00 AM","D_ARCH","01/08/16 12:10 AM"
"11","Urban Studies and Planning"," 11 -Urban Studies and Planning","A","Architecture and Planning",35000.0,"Y","Department of Urban Studies and Planning","School of Architecture and Planning","","02/17/94 12:00 AM","D_DUSP","01/08/16 12:10 AM"
"RED","Center for Real Estate Develop","RED -Center for Real Estate Develop","A","Architecture and Planning",33000.0,"Y","Center for Real Estate Development","School of Architecture and Planning","","09/24/09 12:00 AM","D_CRE","01/08/16 12:10 AM"
"MAS","Prog in Media Arts Sciences","MAS -Prog in Media Arts Sciences","A","Architecture and Planning",36000.0,"Y","Program in Media Arts and Sciences","School of Architecture and Planning","","02/17/94 12:00 AM","D_MAS","01/08/16 12:10 AM"
"SA&P","School of Arch & Planning","SA&P-School of Arch & Planning","A","Architecture and Planning",30000.0,"Y","Program in School of Arch & Planning","School of Architecture and Planning","","02/17/94 12:00 AM","D_DEANARCH","01/08/16 12:10 AM"
"1","Civil and Environmental Eng","  1 -Civil and Environmental Eng","","",63000.0,"Y","Department of Civil and Environmental Engineering","","Civil Eng (    )","08/21/96 12:00 AM","D_CEE","01/08/16 12:10 AM"
"2","Mechanical Engineering","  2 -Mechanical Engineering","","",65000.0,"Y","Department of Mechanical Engineering","","","08/21/96 12:00 AM","D_MECHE","01/08/16 12:10 AM"
"3","Materials Science and Eng","  3 -Materials Science and Eng","","",66000.0,"Y","Department of Materials Science and Engineering","","","02/17/94 12:00 AM","D_DMSE","01/08/16 12:10 AM"
"13","Ocean Engineering"," 13 -Ocean Engineering","","",67000.0,"Y","Department of Ocean Engineering","","","02/17/94 12:00 AM","D_OCEAN","01/08/16 12:10 AM"
"HST","Health Sciences & Technology","HST -Health Sciences & Technology","","",61902.0,"Y","Program in Health Sciences and Technology","","","08/24/12 12:00 AM","D_IMES","01/08/16 12:10 AM"
"CTS","Ctr for Transportation Studies","CTS -Ctr for Transportation Studies","","",69500.0,"Y","","","","02/17/94 12:00 AM","D_CTL","01/08/16 12:10 AM"
"TPP","Technology and Policy Program","TPP -Technology and Policy Program","","",69900.0,"Y","Program in Technology and Policy","","","02/17/94 12:00 AM","D_TPP","01/08/16 12:10 AM"
"SENG","School of Engineering","SENG-School of Engineering","","",60000.0,"Y","Program in School of Engineering","","","02/17/94 12:00 AM","D_DOE","01/08/16 12:10 AM"
"EN","Center for Adv Eng Studies","EN  -Center for Adv Eng Studies","","",69000.0,"Y","","","","01/04/95 12:00 AM","D_CAES","01/08/16 12:10 AM"
"SDM","System Design & Management Prg","SDM -System Design & Management Prg","","",60800.0,"Y","Program in System Design and Management","","","11/18/99 12:00 AM","D_SDM","01/08/16 12:10 AM"
"BEH","Bioengineering & Envir. Health","BEH -Bioengineering & Envir. Health","","",69200.0,"Y","Biological Engineering Division","","was TOX","11/18/99 12:00 AM","D_BIOENG","01/08/16 12:10 AM"
"ESD","Engineering Systems Division","ESD -Engineering Systems Division","","",68100.0,"Y","Engineering Systems Division","","","11/18/99 12:00 AM","D_IDSS","01/08/16 12:10 AM"
"ASP","Advanced Study Program","ASP -Advanced Study Program","","",405100.0,"Y","","","was CAES","11/07/03 12:00 AM","D_ASP","01/08/16 12:10 AM"
